policy,metric,status,full_mean,partial_mean,mean_label,topics_total,topics_observed,observed_topics,censored_topics
uncertainty,depth_per_positive_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,1,C16,"C12,C15,C18,GCRIM"
uncertainty,effort_at_75,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,3,"C12,C16,C18","C15,GCRIM"
uncertainty,effort_at_80,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,3,"C12,C16,C18","C15,GCRIM"
uncertainty,effort_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,1,C16,"C12,C15,C18,GCRIM"
uncertainty,recall_at_1000,OBSERVED,0.5102219329039789,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
uncertainty,recall_at_1R_plus_0,OBSERVED,0.40666736882736865,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
uncertainty,recall_at_1R_plus_100,OBSERVED,0.4503184240147167,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
uncertainty,recall_at_1R_plus_1000,CENSORED,CENSORED,0.7517340251817367,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
uncertainty,recall_at_2R,CENSORED,CENSORED,0.5823190832795511,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
uncertainty,recall_at_2R_plus_0,CENSORED,CENSORED,0.5823190832795511,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
uncertainty,recall_at_2R_plus_100,CENSORED,CENSORED,0.6494844181586054,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
uncertainty,recall_at_2R_plus_1000,CENSORED,CENSORED,0.7956497997633452,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
uncertainty,recall_at_4R_plus_0,CENSORED,CENSORED,0.6637636861189015,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
uncertainty,recall_at_4R_plus_100,CENSORED,CENSORED,0.7527548685717022,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
uncertainty,recall_at_4R_plus_1000,CENSORED,CENSORED,0.8551252522006177,PARTIAL recall mean: 2/5 topics,5,2,"C12,C16","C15,C18,GCRIM"
uncertainty,recall_at_R,OBSERVED,0.40666736882736865,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
