topic,policy,metric,status,value,numerator,denominator,seeds_total,seeds_observed,censored_seeds
GCRIM,auto_tar,recall_at_1R_plus_1000,OBSERVED,0.9252721388643719,3145.0,3399.0,3,3,
GCRIM,auto_tar,recall_at_2R,OBSERVED,0.9288025889967637,287.0,309.0,3,3,
GCRIM,auto_tar,recall_at_2R_plus_0,OBSERVED,0.9288025889967637,287.0,309.0,3,3,
GCRIM,auto_tar,recall_at_2R_plus_100,OBSERVED,0.9335098558399529,3173.0,3399.0,3,3,
GCRIM,auto_tar,recall_at_2R_plus_1000,OBSERVED,0.9558693733451015,1083.0,1133.0,3,3,
GCRIM,auto_tar,recall_at_4R_plus_0,OBSERVED,0.9670491320976757,3287.0,3399.0,3,3,
GCRIM,auto_tar,recall_at_4R_plus_100,OBSERVED,0.9670491320976757,3287.0,3399.0,3,3,
GCRIM,auto_tar,recall_at_4R_plus_1000,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,auto_tar,recall_at_R,OBSERVED,0.7849367461017946,2668.0,3399.0,3,3,
GCRIM,explore_10,batch_effort_at_75,OBSERVED,1233.0,1233.0,1.0,3,3,
GCRIM,explore_10,batch_effort_at_80,OBSERVED,1373.0,1373.0,1.0,3,3,
GCRIM,explore_10,batch_effort_at_90,OBSERVED,2021.3333333333333,6064.0,3.0,3,3,
GCRIM,explore_10,depth_fraction_at_75,OBSERVED,0.04865580946621164,3379.0,69447.0,3,3,
GCRIM,explore_10,depth_fraction_at_80,OBSERVED,0.05435799962561378,3775.0,69447.0,3,3,
GCRIM,explore_10,depth_fraction_at_90,OBSERVED,0.08127060924157992,5644.0,69447.0,3,3,
GCRIM,explore_10,depth_per_positive_at_75,OBSERVED,0.9941159164460135,3379.0,3399.0,3,3,
GCRIM,explore_10,depth_per_positive_at_80,OBSERVED,1.1106207708149456,3775.0,3399.0,3,3,
GCRIM,explore_10,depth_per_positive_at_90,OBSERVED,1.660488378934981,5644.0,3399.0,3,3,
GCRIM,explore_10,effort_at_75,OBSERVED,1126.3333333333333,3379.0,3.0,3,3,
GCRIM,explore_10,effort_at_80,OBSERVED,1258.3333333333333,3775.0,3.0,3,3,
GCRIM,explore_10,effort_at_90,OBSERVED,1881.3333333333333,5644.0,3.0,3,3,
GCRIM,explore_10,overshoot_at_75,OBSERVED,106.66666666666667,320.0,3.0,3,3,
GCRIM,explore_10,overshoot_at_80,OBSERVED,114.66666666666667,344.0,3.0,3,3,
GCRIM,explore_10,overshoot_at_90,OBSERVED,140.0,140.0,1.0,3,3,
GCRIM,explore_10,recall_at_1000,OBSERVED,0.6857899382171226,777.0,1133.0,3,3,
GCRIM,explore_10,recall_at_1R_plus_0,OBSERVED,0.7546337157987644,855.0,1133.0,3,3,
GCRIM,explore_10,recall_at_1R_plus_100,OBSERVED,0.7855251544571933,890.0,1133.0,3,3,
GCRIM,explore_10,recall_at_1R_plus_1000,OBSERVED,0.9167402177110915,3116.0,3399.0,3,3,
GCRIM,explore_10,recall_at_2R,OBSERVED,0.9220358929096794,3134.0,3399.0,3,3,
GCRIM,explore_10,recall_at_2R_plus_0,OBSERVED,0.9220358929096794,3134.0,3399.0,3,3,
GCRIM,explore_10,recall_at_2R_plus_100,OBSERVED,0.9285083848190644,1052.0,1133.0,3,3,
GCRIM,explore_10,recall_at_2R_plus_1000,OBSERVED,0.9514563106796117,98.0,103.0,3,3,
GCRIM,explore_10,recall_at_4R_plus_0,OBSERVED,0.9655781112091791,1094.0,1133.0,3,3,
GCRIM,explore_10,recall_at_4R_plus_100,OBSERVED,0.9664607237422771,1095.0,1133.0,3,3,
GCRIM,explore_10,recall_at_4R_plus_1000,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,explore_10,recall_at_R,OBSERVED,0.7546337157987644,855.0,1133.0,3,3,
GCRIM,fixed_20,batch_effort_at_75,OBSERVED,1047.6666666666667,3143.0,3.0,3,3,
GCRIM,fixed_20,batch_effort_at_80,OBSERVED,1174.3333333333333,3523.0,3.0,3,3,
GCRIM,fixed_20,batch_effort_at_90,OBSERVED,1661.0,1661.0,1.0,3,3,
GCRIM,fixed_20,depth_fraction_at_75,OBSERVED,0.04469595518884905,3104.0,69447.0,3,3,
GCRIM,fixed_20,depth_fraction_at_80,OBSERVED,0.05031174852765418,3494.0,69447.0,3,3,
GCRIM,fixed_20,depth_fraction_at_90,OBSERVED,0.07139257275332268,4958.0,69447.0,3,3,
GCRIM,fixed_20,depth_per_positive_at_75,OBSERVED,0.9132097675786996,3104.0,3399.0,3,3,
GCRIM,fixed_20,depth_per_positive_at_80,OBSERVED,1.0279493968814357,3494.0,3399.0,3,3,
GCRIM,fixed_20,depth_per_positive_at_90,OBSERVED,1.458664313033245,4958.0,3399.0,3,3,
GCRIM,fixed_20,effort_at_75,OBSERVED,1034.6666666666667,3104.0,3.0,3,3,
GCRIM,fixed_20,effort_at_80,OBSERVED,1164.6666666666667,3494.0,3.0,3,3,
GCRIM,fixed_20,effort_at_90,OBSERVED,1652.6666666666667,4958.0,3.0,3,3,
GCRIM,fixed_20,overshoot_at_75,OBSERVED,13.0,13.0,1.0,3,3,
GCRIM,fixed_20,overshoot_at_80,OBSERVED,9.666666666666666,29.0,3.0,3,3,
GCRIM,fixed_20,overshoot_at_90,OBSERVED,8.333333333333334,25.0,3.0,3,3,
GCRIM,fixed_20,recall_at_1000,OBSERVED,0.7299205648720212,827.0,1133.0,3,3,
GCRIM,fixed_20,recall_at_1R_plus_0,OBSERVED,0.7908208296557812,896.0,1133.0,3,3,
GCRIM,fixed_20,recall_at_1R_plus_100,OBSERVED,0.8196528390703148,2786.0,3399.0,3,3,
GCRIM,fixed_20,recall_at_1R_plus_1000,OBSERVED,0.9255663430420712,286.0,309.0,3,3,
GCRIM,fixed_20,recall_at_2R,OBSERVED,0.9340982641953516,3175.0,3399.0,3,3,
GCRIM,fixed_20,recall_at_2R_plus_0,OBSERVED,0.9340982641953516,3175.0,3399.0,3,3,
GCRIM,fixed_20,recall_at_2R_plus_100,OBSERVED,0.9355692850838482,1060.0,1133.0,3,3,
GCRIM,fixed_20,recall_at_2R_plus_1000,OBSERVED,0.9582230067666961,3257.0,3399.0,3,3,
GCRIM,fixed_20,recall_at_4R_plus_0,OBSERVED,0.9673433362753752,1096.0,1133.0,3,3,
GCRIM,fixed_20,recall_at_4R_plus_100,OBSERVED,0.9673433362753752,1096.0,1133.0,3,3,
GCRIM,fixed_20,recall_at_4R_plus_1000,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,fixed_20,recall_at_R,OBSERVED,0.7908208296557812,896.0,1133.0,3,3,
GCRIM,frozen_svm,batch_effort_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,batch_effort_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,batch_effort_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,frozen_svm,depth_fraction_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,depth_fraction_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,depth_fraction_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,frozen_svm,depth_per_positive_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,depth_per_positive_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,depth_per_positive_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,frozen_svm,effort_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,effort_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,effort_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,frozen_svm,overshoot_at_75,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,overshoot_at_80,CENSORED,CENSORED,,,3,1,"29,47"
GCRIM,frozen_svm,overshoot_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,frozen_svm,recall_at_1000,OBSERVED,0.2918505442777287,992.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_1R_plus_0,OBSERVED,0.3174463077375699,1079.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_1R_plus_100,OBSERVED,0.333039129155634,1132.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_1R_plus_1000,OBSERVED,0.45483965872315385,1546.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_2R,OBSERVED,0.47072668431891734,1600.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_2R_plus_0,OBSERVED,0.47072668431891734,1600.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_2R_plus_100,OBSERVED,0.4816122388937923,1637.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_2R_plus_1000,OBSERVED,0.5651662253604001,1921.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_4R_plus_0,OBSERVED,0.655192703736393,2227.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_4R_plus_100,OBSERVED,0.6598999705795823,2243.0,3399.0,3,3,
GCRIM,frozen_svm,recall_at_4R_plus_1000,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,frozen_svm,recall_at_R,OBSERVED,0.3174463077375699,1079.0,3399.0,3,3,
GCRIM,random,batch_effort_at_75,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,batch_effort_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,batch_effort_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,depth_fraction_at_75,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,depth_fraction_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,depth_fraction_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,depth_per_positive_at_75,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,depth_per_positive_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,depth_per_positive_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,effort_at_75,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,effort_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,effort_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,overshoot_at_75,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,overshoot_at_80,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,overshoot_at_90,CENSORED,CENSORED,,,3,0,"11,29,47"
GCRIM,random,recall_at_1000,OBSERVED,0.04766107678729038,54.0,1133.0,3,3,
GCRIM,random,recall_at_1R_plus_0,OBSERVED,0.054133568696675495,184.0,3399.0,3,3,
GCRIM,random,recall_at_1R_plus_100,OBSERVED,0.057664018829067375,196.0,3399.0,3,3,
