method,recall_at_R,recall_at_1000,recall_at_2R,effort_at_75,effort_at_80,effort_at_90,batch_effort_at_90
random,2.01%,5.25%,3.67%,"CENSORED (seeds: 11,29,47)","CENSORED (seeds: 11,29,47)","CENSORED (seeds: 11,29,47)","CENSORED (seeds: 11,29,47)"
seed_similarity,26.95%,42.43%,37.71%,"CENSORED (seeds: 29,47)","CENSORED (seeds: 29,47)","CENSORED (seeds: 11,29,47)","CENSORED (seeds: 11,29,47)"
frozen_svm,28.43%,45.06%,39.55%,CENSORED (seeds: 47),"CENSORED (seeds: 29,47)","CENSORED (seeds: 11,29,47)","CENSORED (seeds: 11,29,47)"
uncertainty,47.42%,74.37%,69.55%,"1,032.333","1,662.000","CENSORED (seeds: 11,29,47)","CENSORED (seeds: 11,29,47)"
auto_tar,65.44%,89.15%,84.86%,533.000,642.333,"1,071.000","1,148.333"
fixed_20,66.40%,89.50%,86.61%,502.333,578.000,"1,066.000","1,081.000"
explore_10,63.60%,88.45%,83.20%,548.667,655.000,"1,170.667","1,233.000"
