policy,recall_at_1000,recall_at_5000,precision_at_20,seconds,fits,runs,reached_75,reached_90
random,0.0467948476628913,0.21983846924666334,0.11333333333333333,0.01852009626665369,0.0,15,0,0
seed_similarity,0.2724060526959466,0.5930165954222358,0.5266666666666666,0.5808691741333708,0.0,15,3,0
frozen_svm,0.2772619407393091,0.5803349842712084,0.5166666666666667,0.37289594619999966,1.0,15,4,0
uncertainty,0.5102219329039788,0.7602799024467989,0.5533333333333333,5.145699873866655,47.0,15,10,3
auto_tar,0.6643087909247065,0.9557685662943394,0.6266666666666667,3.2855786885333216,47.0,15,15,15
fixed_20,0.6640326625879147,0.9573271432742902,0.5166666666666667,39.71467132439998,250.0,15,15,15
explore_10,0.642635728041977,0.9508145598430163,0.6266666666666667,3.126000153666693,47.0,15,15,14
