topic,positives,mean_recall,min_recall,max_recall,mean_effort_75,mean_effort_90,recall_ceiling_at_1000
C12,381,0.8915135608048995,0.8818897637795275,0.9002624671916011,533.0,1071.0,1.0
C15,4179,0.23745712690436305,0.2366594879157693,0.2388131131849724,3301.6666666666665,4486.666666666667,0.23929169657812874
C16,49,0.8843537414965986,0.8571428571428571,0.8979591836734694,270.6666666666667,3516.6666666666665,1.0
C18,1462,0.5788873689010489,0.5772913816689467,0.5813953488372093,1408.3333333333333,2101.6666666666665,0.6839945280437757
GCRIM,1133,0.7293321565166225,0.7219770520741394,0.7343336275375111,1039.0,1737.3333333333333,0.8826125330979699
