reviews,random,seed_similarity,frozen_svm,uncertainty,auto_tar,fixed_20,explore_10
1,0.004967746787807299,0.004967746787807299,0.004967746787807299,0.004967746787807299,0.004967746787807299,0.004967746787807299,0.004967746787807299
2,0.005013346423010218,0.0055876835244135035,0.005571730744641629,0.005571730744641629,0.005571730744641629,0.005571730744641629,0.005571730744641629
3,0.005029299202782094,0.005914960462205947,0.005899007682434071,0.006119585445371021,0.006119585445371021,0.005899007682434071,0.006119585445371021
4,0.005029299202782094,0.006505703218703327,0.006505703218703327,0.0077368689438592885,0.007911847071593321,0.006505703218703327,0.007911847071593321
5,0.006389843420469168,0.006937420627238554,0.006937420627238554,0.009574730205284506,0.00974970833301854,0.006937420627238554,0.00974970833301854
6,0.006389843420469168,0.007323538400570861,0.007307585620798986,0.01154196995924084,0.011762547722177791,0.007307585620798986,0.011762547722177791
7,0.006389843420469168,0.00773930302933421,0.007784902664537128,0.011928087732573148,0.012194265130713016,0.007784902664537128,0.012194265130713016
8,0.006405796200241043,0.008171020437869434,0.009386233383253522,0.013774934236014823,0.01416150488466935,0.009386233383253522,0.01416150488466935
9,0.006464637035780909,0.009901729649116942,0.009992928919522777,0.015492402246925384,0.016112791858853805,0.009992928919522777,0.016112791858853805
10,0.006480589815552784,0.01040127313520849,0.010583671676020161,0.01606719222365089,0.016719487395123068,0.010583671676020161,0.016719487395123068
11,0.006480589815552784,0.010741791273337877,0.01099943630478351,0.018018479197835346,0.018670774369307523,0.01099943630478351,0.018670774369307523
12,0.00671440877882668,0.011286934394632343,0.011544579426077976,0.019969766172019805,0.020622061343491982,0.011544579426077976,0.020622061343491982
13,0.006775961193801474,0.011702699023395692,0.01191474441963841,0.02193429434654121,0.022473163805254145,0.01191474441963841,0.022473163805254145
14,0.006791913973573349,0.012293441779893076,0.012430240685501831,0.023490025430054684,0.024424450779438608,0.012430240685501831,0.024424450779438608
15,0.006853466388548142,0.012725159188428299,0.012846005314265179,0.023892548858481088,0.02504484039136703,0.012846005314265179,0.02504484039136703
16,0.006853466388548142,0.013202476232166442,0.01321617030782561,0.02556441723418873,0.026996127365551483,0.01321617030782561,0.026996127365551483
17,0.006915018803522937,0.013663840496132708,0.013647887716360834,0.027281885245099283,0.029067807590250606,0.013647887716360834,0.029067807590250606
18,0.006960618438725854,0.014254583252630093,0.014034005489693139,0.027756490709402504,0.029542413054553813,0.014034005489693139,0.029542413054553813
19,0.007019459274265719,0.014845326009127476,0.014624748246190526,0.02818820811793772,0.03142316237174703,0.014624748246190526,0.03142316237174703
20,0.00705136483380947,0.015406421910193816,0.015169891367484988,0.030155447871894062,0.03180928014507933,0.015169891367484988,0.03180928014507933
21,0.007096964469012388,0.015672146433011465,0.015822186538957166,0.030716543772960403,0.033789761099372616,0.015822186538957166,0.033789761099372616
22,0.007155805304552252,0.016171689919103012,0.016237951167720515,0.032697024727253686,0.0342803193434477,0.01781907314834454,0.0342803193434477
23,0.007217357719527045,0.01673278582016935,0.016812741144446024,0.03331696146385989,0.03635199956814682,0.020049778721005815,0.03635199956814682
24,0.007292151334838786,0.01729388172123569,0.017198858917778333,0.03512246429041913,0.03695869510441607,0.020656474257275077,0.03695869510441607
25,0.007292151334838786,0.017605205879256257,0.01756902391133876,0.03572915982668839,0.0373904125129513,0.022607761231459536,0.0373904125129513
26,0.007324056894382537,0.01802097050801961,0.017939188904899196,0.03631990258318577,0.03946209273765041,0.023214456767728795,0.03946209273765041
27,0.007355962453926288,0.018361488646148994,0.01827970704302858,0.03837563002811301,0.040173228744662455,0.02377555266879513,0.040173228744662455
28,0.007371915233698161,0.018997831037849296,0.018633919256817132,0.04034286978206934,0.04214046849861878,0.024369007004727446,0.04214046849861878
29,0.007387868013470036,0.019383948811181603,0.01878350648744061,0.042223619099262547,0.04412094945291208,0.026556824521620732,0.04412094945291208
30,0.007387868013470036,0.019999629589467313,0.019383234485954456,0.0442364584884218,0.04595881071433729,0.028524064275577056,0.04595881071433729
31,0.007403820793241912,0.020385747362799626,0.019882777972046004,0.044888753659893976,0.04662434708614642,0.03055014486507326,0.04662434708614642
32,0.007462661628781776,0.020992442899068885,0.02023970176526949,0.04570007417932831,0.04746486158568957,0.0326467631115607,0.04746486158568957
33,0.007508261263984696,0.021319719836861324,0.020505426288087138,0.04629352851526062,0.048130397957498704,0.03484782182879094,0.048130397957498704
34,0.007524214043756571,0.021735484465624674,0.021037328209044654,0.04677084555899877,0.04870473505890198,0.035583895857591315,0.04870473505890198
35,0.007524214043756571,0.021958320932674334,0.021536871695136198,0.04731870025972817,0.04926583095996832,0.03631996988639168,0.04926583095996832
