metric,method_a,method_b,topics_total,censored_topics,status,topics_used,note,nonzero_pairs,mean_difference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples,analysis_seed,exact_sign_flip_p,wilcoxon_exact_p,minimum_two_sided_p
batch_effort_at_80,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_80,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_80,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_80,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_80,uncertainty,auto_tar,5,"C15,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_80,uncertainty,fixed_20,5,"C15,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_80,uncertainty,explore_10,5,"C15,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_80,auto_tar,fixed_20,5,,OBSERVED,5,Exploratory; five-topic bootstrap intervals are unstable; nonsignificance is not equivalence. Minimum attainable two-sided p=0.0625 exceeds 0.05 for 5 nonzero pairs.,5.0,132.73333333333332,53.26666666666667,251.86666666666665,10000.0,20260907.0,0.0625,0.0625,0.0625
batch_effort_at_80,auto_tar,explore_10,5,,OBSERVED,5,Exploratory; five-topic bootstrap intervals are unstable; nonsignificance is not equivalence. Minimum attainable two-sided p=0.0625 exceeds 0.05 for 5 nonzero pairs.,5.0,-94.8,-157.8,-24.933333333333334,10000.0,20260907.0,0.125,0.125,0.0625
batch_effort_at_80,fixed_20,explore_10,5,,OBSERVED,5,Exploratory; five-topic bootstrap intervals are unstable; nonsignificance is not equivalence. Minimum attainable two-sided p=0.0625 exceeds 0.05 for 5 nonzero pairs.,5.0,-227.53333333333333,-376.06666666666666,-93.73333333333332,10000.0,20260907.0,0.0625,0.0625,0.0625
batch_effort_at_90,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_90,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_90,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_90,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_90,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_90,random,explore_10,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_90,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_90,seed_similarity,uncertainty,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_90,seed_similarity,auto_tar,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
