metric,method_a,method_b,topics_total,censored_topics,topic,status,difference
batch_effort_at_75,seed_similarity,fixed_20,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,seed_similarity,fixed_20,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,uncertainty,auto_tar,5,"C15,GCRIM",C12,OBSERVED,483.3333333333333
batch_effort_at_75,uncertainty,auto_tar,5,"C15,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,uncertainty,auto_tar,5,"C15,GCRIM",C16,OBSERVED,0.0
batch_effort_at_75,uncertainty,auto_tar,5,"C15,GCRIM",C18,OBSERVED,1618.0
batch_effort_at_75,uncertainty,auto_tar,5,"C15,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,uncertainty,fixed_20,5,"C15,GCRIM",C12,OBSERVED,560.0
batch_effort_at_75,uncertainty,fixed_20,5,"C15,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,uncertainty,fixed_20,5,"C15,GCRIM",C16,OBSERVED,-11.0
batch_effort_at_75,uncertainty,fixed_20,5,"C15,GCRIM",C18,OBSERVED,1737.3333333333333
batch_effort_at_75,uncertainty,fixed_20,5,"C15,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,uncertainty,explore_10,5,"C15,GCRIM",C12,OBSERVED,483.3333333333333
batch_effort_at_75,uncertainty,explore_10,5,"C15,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,uncertainty,explore_10,5,"C15,GCRIM",C16,OBSERVED,-19.0
batch_effort_at_75,uncertainty,explore_10,5,"C15,GCRIM",C18,OBSERVED,1504.6666666666667
batch_effort_at_75,uncertainty,explore_10,5,"C15,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,auto_tar,fixed_20,5,,C12,OBSERVED,76.66666666666667
batch_effort_at_75,auto_tar,fixed_20,5,,C15,OBSERVED,244.66666666666666
batch_effort_at_75,auto_tar,fixed_20,5,,C16,OBSERVED,-11.0
batch_effort_at_75,auto_tar,fixed_20,5,,C18,OBSERVED,119.33333333333333
batch_effort_at_75,auto_tar,fixed_20,5,,GCRIM,OBSERVED,58.333333333333336
batch_effort_at_75,auto_tar,explore_10,5,,C12,OBSERVED,0.0
batch_effort_at_75,auto_tar,explore_10,5,,C15,OBSERVED,-368.0
batch_effort_at_75,auto_tar,explore_10,5,,C16,OBSERVED,-19.0
batch_effort_at_75,auto_tar,explore_10,5,,C18,OBSERVED,-113.33333333333333
batch_effort_at_75,auto_tar,explore_10,5,,GCRIM,OBSERVED,-127.0
batch_effort_at_75,fixed_20,explore_10,5,,C12,OBSERVED,-76.66666666666667
batch_effort_at_75,fixed_20,explore_10,5,,C15,OBSERVED,-612.6666666666666
batch_effort_at_75,fixed_20,explore_10,5,,C16,OBSERVED,-8.0
batch_effort_at_75,fixed_20,explore_10,5,,C18,OBSERVED,-232.66666666666666
batch_effort_at_75,fixed_20,explore_10,5,,GCRIM,OBSERVED,-185.33333333333334
batch_effort_at_80,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,random,explore_10,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,random,explore_10,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,random,explore_10,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,random,explore_10,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,random,explore_10,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,uncertainty,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,uncertainty,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,uncertainty,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,uncertainty,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,uncertainty,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,auto_tar,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,auto_tar,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,auto_tar,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,auto_tar,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,auto_tar,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,fixed_20,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,fixed_20,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,fixed_20,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_80,seed_similarity,fixed_20,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
